source_file,document_filename,filename_alias,endpoint_definition,raw_numeric_direction,development_value_direction,certification_label_source,endpoint_grade,affinity_grade,grade_weight,training_head,primary_affinity_weight,comparison_scope,certification_notes,certification_version
初赛-序列数据/1/jain2024assessment_Hen_Lys_kd.csv,jain2024assessment_Hen_Lys_kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/1/jain2024assessment_mouse_Ly_kd.csv,jain2024assessment_mouse_Ly_kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/2/shanehsazzadeh2023unlocking_adcc_ec50.csv,shanehsazzadeh2023unlocking_adcc_ec5 0.csv,,ADCC EC50,越小=半最大细胞毒效应所需浓度更低,越小通常越好,细胞功能实验,A/B,D,0,adcc_function,0,仅同 ADCC 体系,该指标与靶细胞密度等因素有关，不能直接翻译亲和力。,2026-08-03_docx_revision
初赛-序列数据/2/shanehsazzadeh2023unlocking_kd_hher2_fab.csv,shanehsazzadeh2023unlocking_kd_hher2 _fab.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/2/shanehsazzadeh2023unlocking_kd_hher2_mab.csv,shanehsazzadeh2023unlocking_kd_hher2 _mab.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/2/shanehsazzadeh2023unlocking_zerokd_trastuzumab.csv,shanehsazzadeh2023unlocking_zerokd_t rastuzumab.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/3/li2023machine_scFv-SARS-CoV-2_affinity1.csv,li2023machine_scFv-SARS- CoV-2_affinity1.csv,,AlphaSeq 校准的log10(KD[nM])估计,越小=估计 KD 更低,越小通常越好,实验衍生+模型校准,B,B/C,0.625,affinity_kd,0.625,同批次/同校准体系,不是纯计算伪标签,2026-08-03_docx_revision
初赛-序列数据/3/li2023machine_scFv-SARS-CoV-2_affinity2.csv,li2023machine_scFv-SARS- CoV-2_affinity2.csv,,AlphaSeq 校准的log10(KD[nM])估计,越小=估计 KD 更低,越小通常越好,实验衍生+模型校准,B,B/C,0.625,affinity_kd,0.625,同批次/同校准体系,不是纯计算伪标签,2026-08-03_docx_revision
初赛-序列数据/4/AbRank_dataset.csv,AbRank_dataset.csv,,混合 KD、IC50、escape 及排序值,无全局统一方向,依measurement_type 决定,文献汇总/异质实验,B/C,C/D,0.25,mixed_endpoint_split_required,0,仅同终点同来源,需拆分终点,2026-08-03_docx_revision
初赛-序列数据/5/adams2017measuring_4420-fluorescein_kd-flow.csv,adams2017measuring_4420- fluorescein_kd-flow.csv,,高通量滴定拟合 KD,越小=亲和力更强,越小通常越好,实验滴定拟合,A/B,B,0.75,affinity_kd,0.75,同研究/同平台,记录拟合质量、截断值和表达校正（ai建议）,2026-08-03_docx_revision
初赛-序列数据/5/adams2017measuring_4420-fluorescein_kd-titeseq.csv,adams2017measuring_4420- fluorescein_kd-titeseq.csv,,高通量滴定拟合 KD,越小=亲和力更强,越小通常越好,实验滴定拟合,A/B,B,0.75,affinity_kd,0.75,同研究/同平台,记录拟合质量、截断值和表达校正（ai建议）,2026-08-03_docx_revision
初赛-序列数据/6/engelhart2022dataset_scFv-SARS-CoV-2_affinity.csv,engelhart2022dataset_scFv-SARS- CoV-2_affinity.csv,,AlphaSeq 校准的log10(KD[nM])估计,越小=估计 KD 更低,越小通常越好,实验衍生+模型校准,B,B/C,0.625,affinity_kd,0.625,同批次/同校准体系,不是纯计算伪标签；大样本，不能压过高质量SPR,2026-08-03_docx_revision
初赛-序列数据/7/hie2023efficient_CoV2Beta_C143_Kd.csv,hie2023efficient_CoV2Beta_C143_Kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/7/hie2023efficient_CoV2Beta_REGN10987_Kd.csv,hie2023efficient_CoV2Beta_REGN10987_ Kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/7/hie2023efficient_CoV2_S309_Kd.csv,hie2023efficient_CoV2_S309_Kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/7/hie2023efficient_CoV2omicron_REGN10987_Kd.csv,hie2023efficient_CoV2omicron_REGN109 87_Kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/7/hie2023efficient_MEDIUCA_H1Solomon_Kd.csv,hie2023efficient_MEDIUCA_H1Solomon_ Kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/7/hie2023efficient_MEDIUCA_H4Hubei_Kd.csv,hie2023efficient_MEDIUCA_H4Hubei_Kd. csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
初赛-序列数据/7/hie2023efficient_MEDI_H4Hubei_Kd.csv,hie2023efficient_MEDI_H4Hubei_Kd.csv,,pKD / -log10(KD),越大=亲和力更强,通常越大越好,直接或拟合实验,A/B,A/B,0.875,affinity_kd,0.875,同研究/同平台,,2026-08-03_docx_revision
