source_file,source_group,paper_title,publication_year,selected_label_column,metric,unit,stored_transform,direction,better_means,label_origin,tier,supervised_use,valid_min,valid_max,censor_policy,evidence,confidence,review_status,notes
初赛-序列数据/1/jain2024assessment_Hen_Lys_kd.csv,初赛-序列数据/1,Assessment and incorporation of in vitro correlates to pharmacokinetic outcomes in antibody developability workflows,2024,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/1/jain2024assessment_mouse_Ly_kd.csv,初赛-序列数据/1,Assessment and incorporation of in vitro correlates to pharmacokinetic outcomes in antibody developability workflows,2024,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/10/koenig2017mutational_kd_g6.csv,初赛-序列数据/10,Mutational landscape of antibody variable domains reveals a switch modulating interdomain dynamics and antigen binding,2017,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_DCC_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_DCC_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_DKK_1.00_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_DKK_1.00_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_IL23R_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_IL23R_spr.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,negative_log10_KD,-log10(M),-log10(KD[M]),1,larger -log10(KD),experimental,Gold,yes,-20,30,reject_nonfinite,supplied paper plus original CSV measurement column,high,human_reviewed,
初赛-序列数据/11/kothiwal2025htp_LOX1_ec50.csv,初赛-序列数据/11,High-Throughput Machine Learning-Aided Antibody Discovery for Cell Surface Antigens,2025,fitness,EC50,source unit,identity,-1,smaller EC50,experimental,Gold,yes,0,,require_positive_finite,supplied paper plus original CSV measurement column,high,human_reviewed,
